,title,price,city,model,mileage,fuel_type,transmission,registered,color,assembly,engine_capacity,price_category,mileage_category
43125,Honda Civic VTi Oriel Prosmatec 1.6,1525000,Rawalpindi,2002,200000,Petrol,Automatic,Lahore,Silver,Local,1600,Low,High
43126,Suzuki Alto VXR,675000,Lahore,2001,185000,Petrol,Not Available,Sialkot,Solid White,Local,1000,Low,High
43128,Toyota Corolla GLi 1.3 VVTi,3500000,Balakot,2017,64000,Petrol,Not Available,Karachi,Brown,Local,1300,Medium,Medium
43129,Suzuki Cultus VXL,2600000,Peshawar,2017,140000,Petrol,Not Available,Islamabad,White,Local,1000,Medium,High
43131,Honda City EXi,1050000,Toba tek singh,1999,199999,Petrol,Not Available,Sindh,Black,Local,1300,Low,High
43132,Toyota Vitz F 1.0,1800000,Karachi,2006,170000,Petrol,Automatic,Sindh,Black Sand Pearl,Imported,1000,Low,High
43133,Toyota Corolla,900000,Rawalpindi,2008,100000,Petrol,Not Available,Rawalpindi,Purple,Local,1800,Low,Medium
43138,Toyota Fortuner 2.7 VVTi,6550000,Lahore,2014,92656,Petrol,Automatic,Karachi,Strong Blue Metallic,Imported,2700,High,Medium
43141,Honda Vezel Hybrid Z,5500000,Hassan abdal,2014,120000,Hybrid,Automatic,Islamabad,Grey,Imported,1500,High,High
43142,Honda Civic VTi Oriel 1.8 i-VTEC,3190000,Chakwal,2015,111000,Petrol,Not Available,Islamabad,Crystal Black,Local,1800,Medium,High
43144,Honda City i-DSI,2025000,Lahore,2005,94000,Petrol,Not Available,Lahore,Taffeta White,Local,1300,Low,Medium
43145,Suzuki Cultus VXL,2950000,Mansehra,2019,115000,Petrol,Not Available,Islamabad,Silver,Local,1000,Medium,High
43146,Changan Alsvin 1.5L DCT Lumiere,3650000,Hyderabad,2021,41508,Petrol,Automatic,Sindh,White,Local,1500,Medium,Low
43150,Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC,2300000,Wah cantt,2008,153210,Petrol,Automatic,Lahore,Crystal Black,Local,1800,Medium,High
43157,Honda Civic EXi,1789999,Rawalpindi,2005,336000,Petrol,Not Available,Islamabad,Black,Local,1500,Low,High
43159,Suzuki Wagon R VXL,2680000,Mirpur khas,2022,56000,Petrol,Not Available,Sindh,White,Local,1000,Medium,Medium
43162,Toyota Aqua G,6700000,Karachi,2021,45500,Hybrid,Automatic,Un-Registered,White,Imported,1500,High,Low
43164,Suzuki Alto VXR (CNG),750000,Chiniot,2005,180000,Petrol,Not Available,Lahore,White,Local,1000,Low,High
43165,Suzuki Mehran VX,830000,Islamabad,2011,90000,Petrol,Not Available,Peshawar,Snow White Pearl,Local,800,Low,Medium
43166,Toyota Corolla GLi Automatic 1.3 VVTi,3935000,Quetta,2017,61400,Petrol,Automatic,Sindh,Silver,Local,1300,Medium,Medium
43169,Suzuki Khyber GA,350000,Chakwal,1992,21129,Petrol,Not Available,Lahore,White,Local,1000,Low,Low
43171,Honda Civic Oriel 1.8 i-VTEC CVT,4900000,Lahore,2017,93600,Petrol,Automatic,Islamabad,White,Local,1800,High,Medium
43172,Suzuki Mehran VX Euro II,1250000,Lahore,2019,58000,Petrol,Not Available,Karachi,Solid White,Local,796,Low,Medium
43173,Toyota Corolla GLi Automatic 1.3 VVTi,4810000,Peshawar,2019,68200,Petrol,Automatic,Islamabad,White,Local,1300,High,Medium
43175,Toyota Corolla GLi 1.3 VVTi,2950000,Mirpur ak,2011,95000,Petrol,Not Available,Lahore,White,Local,1300,Medium,Medium
43176,Suzuki Mehran VXR Euro II,1000000,Bahawalpur,2015,70000,Petrol,Not Available,Sindh,Silky Silver,Local,796,Low,Medium
43179,Suzuki Alto VXR,2260000,Burewala,2020,58000,Petrol,Not Available,Punjab,Solid White,Local,660,Medium,Medium
43180,Honda Civic VTi Oriel Prosmatec 1.6,1650000,Abbottabad,2003,25000,Petrol,Automatic,Lahore,Beige,Local,1600,Low,Low
43181,Honda City i-DSI,1975000,Lahore,2006,19200,Petrol,Not Available,Lahore,Metallic Grey,Local,1300,Low,Low
43183,Toyota Corolla GLi Automatic 1.3 VVTi,4600000,Karachi,2019,85000,Petrol,Automatic,Karachi,White,Local,1300,High,Medium
